CO2 per capita,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Seychelles,5.434948952,5.714359927,6.597266847,7.17629366,8.057697298,6.729497354,6.825046943,9.007918739,8.342014616,8.830519668,7.680690399,8.27022563,8.774885086,8.137035068
Sierra Leone,0.084319596,0.076974214,0.072818868,0.102660277,0.13205231,0.135093694,0.137983913,0.129573769,0.106013432,0.137654069,0.115790411,0.118255775,0.113719001,0.117482591
Singapore,18.86128859,15.23105404,13.02175926,12.50257274,12.44340974,11.71233261,7.618604765,6.843890705,7.115879149,6.983366799,3.896273284,4.114440755,5.007368436,2.657862567
Slovak Republic,7.536881516,7.700169318,7.518861025,6.90275731,7.278343963,7.257179056,7.300549325,7.160088597,7.233132478,7.178985153,6.738570282,6.901654456,6.215614863,6.607508917
Slovenia,8.026467519,7.675086813,7.683364794,7.184088964,7.625116196,7.742774178,7.771158218,7.880375256,7.924575925,8.093731154,8.055444436,8.511828196,7.563256326,7.55127245
Solomon Islands,0.42849567,0.416983281,0.414961761,0.403687502,0.410090934,0.398820971,0.404341381,0.393213385,0.382428171,0.371980676,0.398799573,0.388067132,0.377772478,0.374742016
South Africa,8.660250638,8.55278692,8.405596029,8.234447518,7.991048988,7.555187225,8.165662922,9.043477623,8.287456989,8.789515823,9.082425042,9.427960373,10.12824343,9.177268721
Spain,6.365923957,6.582258254,7.068002606,7.30749422,7.304999803,7.602854664,7.637238997,7.942453804,8.144403925,7.951434228,8.030690436,7.293088758,6.315138402,5.852169145
Sri Lanka,0.407291187,0.419356753,0.458675419,0.542026557,0.54142153,0.575273236,0.55028812,0.610095096,0.58670256,0.585034346,0.614418971,0.580791088,0.620715977,0.609237667
Sudan,0.214701915,0.181422022,0.191887235,0.203470696,0.228763606,0.284958808,0.311233555,0.381532112,0.350443336,0.367321241,0.390491087,0.382117945,0.4190638,0.415146789
Suriname,4.780220721,4.763750283,4.67472744,4.555392285,4.78633634,4.688988306,4.602163791,4.64618695,4.766063014,4.836476779,4.786958772,4.74113997,4.746781672,4.542832237
Swaziland,1.194515294,1.179797053,1.182373664,1.116717677,1.064103888,1.039610803,0.956471368,0.940525386,0.922549579,0.908789398,0.938505529,0.949860795,0.875597533,0.862522512
Sweden,5.854949148,5.983782634,5.77265274,5.619504163,5.759176144,6.450358359,6.130266398,6.072200103,5.709937986,5.452381206,5.245428615,5.315688399,4.697578126,5.598303369
Switzerland,5.847650529,5.880215442,5.702370176,5.447382044,5.959870164,5.611965123,5.501697578,5.486627622,5.579360883,5.606771688,5.054235042,5.333057624,5.457750306,5.056288113
Syria,2.757318296,3.307648793,3.363207367,3.192517004,2.964542857,2.302944969,3.103545487,2.838465771,2.739071584,2.832061721,2.972039494,3.437245341,3.096977956,3.030434275
Taiwan,9.2846866,9.085890507,9.342935902,9.811882973,10.15736927,10.59284664,10.93656567,11.51947956,11.42528229,11.72345126,11.96258221,11.23307593,10.53955196,11.31371697
Tajikistan,0.362029908,0.414255843,0.412662092,0.362341908,0.367691083,0.299245491,0.327508873,0.401025172,0.377846374,0.406868288,0.488006074,0.45316766,0.426482924,0.415780045
Tanzania,0.091224327,0.078906191,0.076431907,0.077883174,0.089574137,0.100179091,0.103456859,0.11518087,0.144660963,0.149243355,0.149726607,0.154672995,0.148099685,0.152664574
Thailand,3.168676259,2.774066454,2.928990862,2.982158924,3.163028885,3.340746828,3.55172122,3.819561062,3.840357209,3.882308397,3.867183746,3.835101888,4.025289042,4.271486171
Togo,0.226777233,0.25910115,0.3303407,0.283021912,0.235952056,0.243916008,0.282964931,0.264169418,0.247470866,0.220799333,0.232863496,0.251983337,0.254722001,0.255483014
Tonga,1.177270734,1.13441825,1.317171468,1.235513351,1.452130468,1.48068879,1.766022135,1.718418656,1.562200688,1.732556308,1.506053553,1.567712888,1.664750754,1.515180636
Trinidad and Tobago,15.07534537,15.07418472,17.72827269,18.97102658,19.29226402,20.65777693,21.20440662,23.64577023,21.72594204,24.3478454,35.04386203,31.95771727,36.04796851,37.77735535
Tunisia,1.849165891,1.942703714,1.957785894,2.106678672,2.180460813,2.181157781,2.200638128,2.286900966,2.300148418,2.308450238,2.35591968,2.440669476,2.393129475,2.468832135
Turkey,3.265863119,3.248784895,3.138322808,3.396750939,3.013720544,3.142425025,3.293506192,3.352171129,3.483062855,3.787048964,4.066597141,4.021902589,3.866865892,4.095749975
Turkmenistan,6.95450398,6.026446929,7.811417815,7.855596943,8.626670068,8.748011544,9.081640674,9.226054808,9.55620722,9.631988136,11.01318428,11.20039948,9.743814452,10.52149662
Turks and Caicos Islands,0.675883257,0.87494283,0.834613707,0.777124287,0.707577512,4.296129144,4.006504065,3.641824223,3.96318496,4.387849033,4.58280045,4.384501298,4.328655881,4.206427839
Uganda,0.051876195,0.059210261,0.05995946,0.063299016,0.064867712,0.064678129,0.064135222,0.067280409,0.080345994,0.090386244,0.10308759,0.100852839,0.103991889,0.11320975
Ukraine,6.776832883,6.590570454,6.735775352,6.560310437,6.638455544,6.63417913,7.393012154,7.257285789,7.114472751,7.006612487,7.0775726,7.03235908,5.726543645,6.706011127
United Arab Emirates,15.94508113,29.57288649,27.05096263,37.1031264,32.19789338,26.02284928,31.41231635,30.95380899,28.53970008,26.56463484,25.78687314,25.60501366,23.43157057,22.30940485
United Kingdom,9.354158029,9.322261392,9.127136584,9.233474647,9.315212814,8.963441073,9.069662878,9.022277534,9.001867972,8.952900983,8.684595423,8.526466818,7.705539254,7.954468702
United States,19.87559408,19.76765214,19.8037525,20.22341689,19.61477176,19.58778636,19.5033538,19.69046185,19.62757965,19.1514501,19.28039782,18.5459917,17.26222431,17.50271785
Uruguay,1.699139969,1.72843431,2.033286064,1.59854208,1.530714036,1.389315323,1.383637806,1.689063569,1.738133813,1.997825563,1.798415923,2.489763547,2.35023763,1.972223822
Uzbekistan,4.28482617,4.872490824,4.798243774,4.841064795,4.872775736,5.020897834,4.812649856,4.640350382,4.311694928,4.444973599,4.411953043,4.476669019,4.297996998,3.805251739
Vanuatu,0.503084249,0.473926547,0.465315596,0.435861691,0.464272148,0.433467828,0.403397877,0.267560481,0.260453663,0.219905272,0.428701409,0.401974499,0.501874902,0.48960085
Venezuela,5.833523973,7.142414583,7.225967549,6.259217617,6.953024135,7.646174345,7.4635815,6.421846254,6.811162455,6.333103577,6.369959049,6.657569867,6.498067976,6.961007434
West Bank and Gaza,0.139027419,0.202052038,0.209712636,0.247611425,0.410765965,0.344120852,0.374235226,0.535766454,0.771369263,0.62292296,0.623526066,0.536602287,0.531715696,0.585513142
Western Sahara,0.798044067,0.783195953,0.786200396,0.755797975,0.707728794,0.658252088,0.61203387,0.572679886,0.541089914,0.516308861,0.496382999,0.479618237,0.464255266,0.449261703
Vietnam,0.592506586,0.616837131,0.612249535,0.68106935,0.767733041,0.879492136,0.96784037,1.100628526,1.177629288,1.218506809,1.336835819,1.479346575,1.611539428,1.709944894
Zambia,0.25383693,0.238964347,0.18176428,0.178273353,0.182459196,0.184131046,0.192078064,0.190337117,0.198330217,0.189416747,0.137172459,0.148981514,0.169446954,0.185454433
Zimbabwe,1.191934033,1.162341642,1.276289034,1.110011767,0.998965011,0.94634606,0.842467063,0.787884075,0.856967286,0.825534834,0.818160902,0.65432319,0.700176816,0.749873483
