quote,author,book,tags,likes
"“Children are dying.'
Lull nodded. 'That's a succinct summary of humankind, I'd say. Who needs tomes and volumes of history? Children are dying. The injustices of the world hide in those three words. Quote me, Duiker, and your work's done.' 
The bastard's right. Economics, ethics, the games of the gods - all within that single, tragic statement. I'll quote you, soldier. Be assured of that.”",Steven Erikson,Deadhouse Gates,,13
"“What is there left to understand? Choice is an illusion. Freedom is conceit. The hands that reach out to guide your every step, your every thought, come not from the gods, for they are no less deluded than we - no, my friends, those hands come to each of us... from each of us.”",Steven Erikson,The Bonehunters,freedom,13
"“There was, in his mind, no truer measure of stupidity than to imagine that the world could be reduced to two sides,”",Steven Erikson,Forge of Darkness,,13
"“One day, I will be a child again. Carved toys will caper and dance from my mind, out across rock I will raise as mountains. Through grasses I will proclaim forests. For too long I have been trapped in this world of measures, proportions and scale. For too long I have known and understood the limits of what is possible, so cruel in rejecting all that can be imagined. In this way, friend, we are each of us not one but two lives, for ever locked in mortal combat, and from all things at hand, we make weapons.’ - Hust Henarald”",Steven Erikson,Forge of Darkness,,12
"“We marched across half a world. We chased a Whirlwind. We walked out of a burning city. We stood against our own in Malaz City. We took down the Letherii Empire, held off the Nah’ruk. We crossed a desert that couldn’t be crossed.
Now I know how the Bridgeburners must have felt, as the last of them was torn down, crushed underfoot. All that history, vanishing, soaking red into the earth.
Back home – in the Empire – we’re already lost. Just one more army struck off the ledgers. And this is how things pass, how things simply go away. We’ve gone and marched ourselves off the edge of the world.
I don’t want to say goodbye.”",Steven Erikson,The Crippled God,,12
"“We should all live a life of hobbies. Doing only what gives us pleasure, only what rewards us in secret, private ways.”",Steven Erikson,The Crippled God,,12
"“Justice without compassion was the destroyer of morality, a slayer blind to empathy.”",Steven Erikson,Dust of Dreams,,12
“Why do the survivors remain anonymous—as if cursed—while the dead are revered? Why do we cling to what we lose while we ignore what we still hold?”,Steven Erikson,Deadhouse Gates,,12
"“Grief isolates, and every ritual, every gesture, every embrace, is a hopeless effort to break through that isolation. None of it works. The forms crumble and dissolve. To face death is to stand alone.”  
  ―",Steven Erikson,Toll the Hounds,,12
"“Why is it, I wonder, that organizations such as yours are invariably run by pitiful human failures? By small-minded psychotics and perverts. All bullied as children, of course. Or abused by twisted parents – I’m sure you have terrible tales to confess, of your miserable youth. And now the power is in your hands, and oh how the rest of us suffer.”",Steven Erikson,Reaper's Gale,,12
"“You will find the strength within you, Endest Silann. Of that I have no doubt.'
'Yes, sire.'
'As shall I.' And with that the Son of Darkness reached out, reclaimed the sword Dragnipur. With familiar ease he slid the weapon into the scabbard on his back. He faced Endest and smiled as if the burden he had just accepted yet again could not drive others to their knees – gods, ascendants, the proud and the arrogant, all to their knees. Rake's legs did not buckle, did not even so much as tremble. He stood tall, unbowed, and in the smile he offered Endest Silann there was a certainty of purpose, so silent, so indomitable, so utterly appalling that Endest felt his heart clench, as if moments from rupturing.
And his Lord stepped close then, and with one hand brushed the wetness from one cheek.”",Steven Erikson,Toll the Hounds,,12
"“You are frowning. Why?’ ‘Well, I’ve already killed a god today,’ Iron Bars said. ‘If I’d known this was going to be a day for killing gods, I might have paced myself better.”",Steven Erikson,Midnight Tides,,12
"“A pointless, senseless death.’
‘They’re all pointless and senseless, friend. Until the living carve meaning out of them. What are 
 going to carve, Gruntle, out of Harllo’s death? Take my advice, an empty cave offers no comfort.’
‘I ain’t looking for comfort.’
‘You’d better. No other goal is worthwhile, and I should know. Harllo was my friend as well. From the way those Grey Swords who found us described it, you were down, and he did what a friend’s supposed to do – he defended you. Stood over you and took the blows. And was killed. But he did what he wanted – he saved your hide. And is this his reward, Gruntle? You want to look his ghost in the eye and tell him it wasn’t worth it?’
‘He should never have done it.’
‘That’s not the point, is it?”",Steven Erikson,Memories of Ice,,12
"“This, then, is friendship. A family you choose. What you give to it, you give freely. What you withhold from it, measures its depth.”",Steven Erikson,Fall of Light,,12
"“The High Mage scowled. 'All right. Maybe I was trying to scare you.
It'll be rough, though. That much is true. And over on the Silanda, Fiddler will be heaving his guts out.'
Kalam, thinking on it, suddenly smiled. 'That cheers me up.'
'Me too.”",Steven Erikson,The Bonehunters,,11
"“Diversity is worth celebrating, Humbrall Taur, for it is the birthplace of wisdom.”",Steven Erikson,Memories of Ice,,11
"“I see no value in modest ambitions
 - Karsa Orlong”",Steven Erikson,House of Chains,,11
“Precision is a precise art. Poignancy is pre-eminent and precludes prevarication.”,Steven Erikson,Memories of Ice,,11
"“If we are to live,' Rake went on, 'we must take risks. Else our lives become deaths in all but name. There is no struggle too vast, no odds too overwhelming, for even should we fail - should we fall - we will know that we have lived.”",Steven Erikson,Toll the Hounds,,11
"“Morality was not relative, they claimed, nor even existing solely in the realm of the human condition. No, they proclaimed morality as an imperative of all life, a natural law that was neither the brutal acts of beasts nor the lofty ambitions of humanity, but something other, something unassailable.”",Steven Erikson,Gardens of the Moon,,11
"“It was Kellanved – all of this. Him and Dancer. They used Tavore Paran from the very start. They used all of us, Hedge.’
‘That’s what gods do, aye. So you don’t like it? Fine, but listen to me. Sometimes, what they want – what they need us to do – sometimes it’s all right. I mean, it’s the right thing to do. Sometimes, it makes us better people.’
‘You really believe that?’
‘And when we’re better people, we make better gods.’
Fiddler looked away. ‘It’s hopeless, then. We can stuff a god with every virtue we got, it still won’t make us any better, will it? Because we’re not good with virtues, Hedge.’
‘Most of the time, aye, we’re not. But maybe then, at our worst, we might look up, we might see that god we made out of the best in us. Not vicious, not vengeful, not arrogant or spiteful. Not selfish, not greedy. Just clear-eyed, with no time for all our rubbish. The kind of god to give us a slap in the face for being such shits.”",Steven Erikson,The Crippled God,,11
"“What matter the colour of the collar around a man’s neck, if the chains linked to them were identical?”",Steven Erikson,House of Chains,,11
"“What are gods, after all, if not the perfect victims?”",Steven Erikson,Gardens of the Moon,,11
"“I am a caster of nets. Tyrants and emperors rise and fall. Civilizations burgeon then die, but there are always casters of nets. And tillers of the soil, and herders in the pastures. We are where civilization begins, and when it ends, we are there to begin it again.”",Steven Erikson,Midnight Tides,"civilization, dignity",11
"“The existance of many gods conveys true complexity of mortal life. Conversely, the assertion of but one god leads to a denial of complexity, and encourages the need to maek the world simple. Not the fault of the god, but a crime commited by its believers.”",Steven Erikson,The Bonehunters,,11
"“Retribution seen in natural catastrophes is manufactured by all too eager
and all too pious people, each one convinced the world will end but spare them and them
alone. But we all know, the world is inherited by the obnoxious, not the righteous”",Steven Erikson,Reaper's Gale,,11
"“Whatever evil you let ride becomes commonplace, eventually. Problem is, it’s easier to get used to it than carve it out.”  
  ―",Steven Erikson,Deadhouse Gates,,11
"“But let me describe the characteristics of peace, my young friend. A pervasive dulling of the senses, a decadence afflicting the culture, evinced by a growing obsession with low entertainment. The virtues of extremity – honour, loyalty, sacrifice – are lifted high as shoddy icons, currency for the cheapest of labours. The longer peace lasts, the more those words are used, and the weaker they become. Sentimentality pervades daily life. All becomes a mockery of itself, and the spirit grows … restless.”",Steven Erikson,Midnight Tides,,11
"“You should have seen our last stands. They were something.
They were something.
Darkness, and then brightness – brightness like a summer day without end. He went there, without a single look back.”",Steven Erikson,The Crippled God,,10
"“All that we were has led us to where we are, but tells us little of where we’re going. Memories are a weight you can never shrug off.”",Steven Erikson,Deadhouse Gates,,10
"“Not even the dead know the end to war.
-Iskar Jarak”",Steven Erikson,The Crippled God,,10
"“Silence!” Korbolo snapped. He eyed Duiker. “You are the historian who rode with Coltaine.”
The historian faced him. “I am.”
“You are a soldier.”
“As you say.”
“I do, and so you shall die with these soldiers, in a manner no different-“
“You mean to slaughter ten thousand unarmed men and women, Korbolo Dom?”
“I mean to cripple Tavore before she even sets foot on this continent. I mean to make her too furious to think. I mean to crack that façade so she dreams of vengeance day and night, poisoning her every decision.”
“You always fashioned yourself as the Empire’s harshest Fist, didn’t you, Korbolo Dom? As if cruelty’s a virtue…”",Steven Erikson,Deadhouse Gates,"malazan, soldier",10
"“In my lifelong study of the scores of species of ants to be found in the tropical forests of Dal Hon, I am led to the conviction that all forms of life are engaged in a struggle to survive, and that within each species there exists a range of natural but variable proclivities, of physical condition and of behaviour, which in turn weighs for or against in the battle to survive and procreate. Further, it is my suspicion that in the act of procreation, such traits are passed on. By extension, one can see that ill traits reduce the likelihood of both survival and procreation. On the basis of these notions, I wish to propose to my fellow scholars at this noble gathering a law of survival that pertains to all forms of life. But before I do so, I must add one more caveat, drawn from the undeniable behavioural characteristics of, in my instance of speciality, ants. To whit, success of one form of life more often than not initiates devastating population collapse among competitors, and indeed, sometimes outright extinction. And that such annihilation of rivals may in fact be a defining feature of success.
Thus, my colleagues, I wish to propose a mode of operation among all forms of life, which I humbly call-in my four-volume treatise-‘The Betrayal of the Fittest’.
Obsessional Scrolls
Sixth Day Proceedings
Address Of Skavat Gill
Unta, Malazan Empire, 1097 Burn's Sleep”",Steven Erikson,Dust of Dreams,,10
"“Memory did not let go; it remained the net dragged in one's wake, with all sorts of strange things snarled in the knotted strands.”",Steven Erikson,Toll the Hounds,,10
"“It' s easy to weep when staying far away, doing nothing.”",Steven Erikson,The Bonehunters,,10
"“Some roads, once set out upon, reveal no possible path but forward. Every other track is blocked by snarls of thorns, steaming fissures or rearing walls of stone. What waits at the far end of the forward path is unknown, and since knowledge itself may prove a curse, the best course is simply to place one foot in front of the other, and think not at all of fate or the cruel currents of destiny.”",Steven Erikson,Dust of Dreams,,10
"“Those who knew but one path would come to worship it, even as it led to a cliff's edge.”",Steven Erikson,Midnight Tides,,10
"“Many children, early on, acquire a love of places they have never been. Often, such wonder is summarily crushed on the crawl through the sludge of murky, confused adolescence on to the flat, cracked pan of adulthood with its airless vistas ever lurking beyond the horizon. Oh, well, sometimes such gifts of curiosity, delight and adventure do indeed survive the stationary trek, said victims ending up as artists, scholars, inventors and other criminals bent on confounding the commonplace and the platitudes of peaceful living. But never mind them for now, since, for all their flailing subversions, nothing really ever changes unless in service to convenience.”",Steven Erikson,Toll the Hounds,,10
"“We are all interludes in history, a drawn breath to make pause in the rush, and when we are gone, those breaths join the chorus of the wind. But who listens to the wind?”",Steven Erikson,Forge of Darkness,,10
"“Land, domination, pre-emptive attacks - all just excuses, mundane justifications that do nothing but disguise the simple distinction. They are not us. We are not them.”",Steven Erikson,Deadhouse Gates,,10
"“witness two scenes. In one, an angry, bitter man beats another man to death in an alley in the Gadrobi District. In the other, a man of vast wealth conspires with equally wealthy compatriots to raise yet again the price of grain, making the cost of simple bread so prohibitive that families starve, are led into lives of crime, and die young. Are both acts of violence?”",Steven Erikson,Toll the Hounds,,10
"“So you say, with your shiny hair and pouty lips - and those breasts - just wait till you start dropping whelps, they'll be at your ankles one day, big as they are - not the whelps, the breasts. The whelps will be in your hair - no, not the shiny hair on your head, well, yes, that hair, but only as a manner of speech.”",Steven Erikson,House of Chains,,10
"“Pogroms need no reason, sir, none that can weather challenge, in any case. Difference in kind is the first recognition, the only one needed, in fact. Land, domination, pre-emptive attacks—all just excuses, mundane justifications that do nothing but disguise the simple distinction. They are not us. We are not them.”",Steven Erikson,Deadhouse Gates,,10
"“a civilization shackled to the strictures of excessive control on its populace, from choice of religion through to the production of goods, will sap the will and the ingenuity of its people – for whom such qualities are no longer given sufficient incentive or reward. At face value, this is accurate enough. Trouble arrives when the opponents to such a system institute its extreme opposite, where individualism becomes godlike and sacrosanct, and no greater service to any other ideal (including community) is possible. In such a system rapacious greed thrives behind the guise of freedom, and the worst aspects of human nature come to the fore, a kind of intransigence as fierce and nonsensical as its maternalistic counterpart.”  
  ―",Steven Erikson,Reaper's Gale,,10
"“Against a broken heart, even absurdity falters.
Because words fall away.
A dialogue of silence.
That deafens.”",Steven Erikson,The Crippled God,,10
"“If you can only feel safe when everybody else feels, thinks and looks the same as you, then you’re a Hood-damned coward…not to mention a vicious tyrant in the making.”",Steven Erikson,The Bonehunters,,10
"“Quick Ben, tell me, who was the toughest Bridgeburner you ever knew? Think back, and think carefully. Get your ego out of the way. Ignore your favorites and the ones who spent all their time looking mean. Not the callous shits, not the back-stabbers, none of the posers. The toughest, Quick Ben. Day in, day out, good times, bad. Tell me. Who?""
The High Mage squinted, glanced down at the ground at this feet, and then he sighed and nodded, looking up as he said, ""I didn't need that list, Ganoes. I knew my answer right from the start. We all knew.""",Steven Erikson,,"malazan, tough",10
"“Braven Tooth, you remember the last time I played-'
'That was the last time?'
'It was, and there's been a lot who've fallen since then. Friends. People we grew to love, and now miss, like holes in the heart.' He drew a deep breath, then continued, 'It's been waiting, inside, for a long time. So, my old, old friends, let's hear some names.”",Steven Erikson,The Bonehunters,,10
"“There’s little value in seeking to find reasons for why people do what they do, or feel the way they feel. Hatred is a most pernicious weed, finding root in any kind of soil. It feeds on itself.’ ‘With words.’ ‘Indeed, with words. Form an opinion, say it often enough and pretty soon everyone’s saying it right back at you, and then it becomes a conviction, fed by unreasoning anger and defended with weapons of fear. At which point, words become useless and you’re left with a fight to the death.”",Steven Erikson,House of Chains,,10
"“The gods know, happiness is a precious and rare commodity, and indeed it seems that the more intelligent and perceptive the individual, the less happy they generally are. The cost of seeing things as they are, I expect.”",Steven Erikson,Toll the Hounds,,10
"“The gentler and kinder the god, the more harsh and cruel its worshippers, for they hold to their conviction with taut certainty, febrile in its extremity, and so cannot abide dissenters. They will kill, they will torture, in that god’s name. And see in themselves no conflict, no matter how bloodstained their hands.”",Steven Erikson,The Bonehunters,,10
"“Some were destined to walk alone through life, others not.”",Steven Erikson,Fall of Light,,9
“the failure of hope has a name: it is called suffering.”,Steven Erikson,The Crippled God,,9
“I hear Seven Cities natives grow fruit just so they can eat the larvae in them.”,Steven Erikson,Gardens of the Moon,,9
"“Nimander wondered if he had discovered the face of the one true god. Naught else but time, this ever changing and yet changeless tyrant against whom no creature could win. Before whom even trees, stone and air must one day bow. There would be a last dawn, a last sunset, each kneeling in final surrender. Yes, time was indeed god, playing the same games with lowly insects as it did with mountains and the fools who would carve fastnesses into them. At peace with every scale, pleased by the rapid patter of a rat’s heart and the slow sighing of devouring wind against stone. Content with a star’s burgeoning light and the swift death of a raindrop on a desert floor.”",Steven Erikson,Toll the Hounds,,9
"“You are very easily exasperated, my dear. If you're a leaf trembling on a wide, deep river, relax and ride the current. It's always worked for me, I assure you.”",Steven Erikson,Memories of Ice,,9
"“The dust dreams of the world it had once been. But the dust, alas, does not command the wind.”",Steven Erikson,Toll the Hounds,"dust, wind",9
"“If we are to live ... we must take risks. Else our lives become deaths in all but name. There is no struggle too vast, no odds too overwhelming, for even should we fail - should we fall - we will know that we have lived.”",Steven Erikson,Toll the Hounds,"life-advise, malazan",9
"“Tattersail smiled. ""The only death I fear is dying ignorant.”",Steven Erikson,Gardens of the Moon,,9
"“If need be, the round man can prove a most blunt barrier.
Just ask the man with the hammer.”",Steven Erikson,Toll the Hounds,"hammer, kruppe",9
"“Envy shrugged. 'Can no value be found in good intentions?'
'What, precisely, are you trying to justify? And to me, or yourself?'
She glared, then quickened her pace. 'You're no fun at all,' she sniffed as she pulled
ahead, 'and presumptuous as well. I'm going to talk with Tool, his moods don't
swing!'
No, they just hang there, twisting in the wind.”",Steven Erikson,Memories of Ice,,9
“You cannot be remade unless you are first broken.”,Steven Erikson,Deadhouse Gates,"life, philosophy",9
"“Control yourselves. Be orderly. Don’t blow any of us up. Am I understood?’
A quick nod. ‘Aye, sir. Bless you, sir.’
Startled, Paran’s voice sharpened, ‘Bless me?’
And from the mob of sappers came a muttered chorus, echoing the corporal’s blessing. Paran stepped back, struggled for a moment to regain his composure, and then raised his voice. ‘No need to rush – there’s plenty for everyone.”",Steven Erikson,The Crippled God,,9
"“All thrones should be made of ice, I think.
Sit on that numb arse, sinking down and down, with the puddle of dissolution getting ever wider around you. Sit, dear ruler, and tell me all your grand designs.”  
  ―",Steven Erikson,Reaper's Gale,,9
"“Oh, we talk of progress, but what we really desire is the perpetuation of the present. With its seemingly endless excesses, its ravenous appetites. Ever the same rules, ever the same game.”",Steven Erikson,Midnight Tides,,9
"“I am Crone, eldest of the Moon's Great Ravens, whose eyes have looked upon a hundred thousand years of human folly. Hence my tattered coat and broken beak as evidence of your indiscriminate destruction. I am but a winged witness of your eternal madness.”",Steven Erikson,Gardens of the Moon,humanity,9
"“Tehol collected his cup and carefully sniffed. Then he frowned at his manservant.
Who shrugged. “We don’t have no herbs, master. I had to improvise.”
“With what? Sheep hide?”
Bugg’s brows rose. “Very close indeed. I had some leftover wool.”
“The yellow or the grey?”
“The grey.”
“Well, that’s alright, then.” He sipped. “Smooth.”
“Yes, it would be.”
“We’re not poisoning ourselves, are we?” – MT 237”",Steven Erikson,Midnight Tides,,9
"“All right, shadow-priest, you've been spying — on what? What state secrets have you learned watching me groom these horses?'
'Only that they hate you, Daru. Every time your back was turned, they got ready to nip you — only you always seemed to step away at precisely the right moment-'
'Yes, I did, since I knew what they were intending. Each time.'
'Is this pride I hear? That you outwitted two horses?”",Steven Erikson,Memories of Ice,"humor, pride, spying",9
"“Hadrian held the headphones close to one ear. “What is this, Eden? You’re listening to music? Stupid, crappy music?”
The square-jawed man stared blankly at him. “It’s Celine Dion, sir.”
“Get security up here! I want this man in irons. Prepare the Dark Hole!”",Steven Erikson,Willful Child,,9
"“Perched upon the stones of a bridge
The soldiers had the eyes of ravens
Their weapons hung black as talons
Their eyes gloried in the smoke of murder
To the shock of iron-heeled sticks
I drew closer in the cripple’s bitter patience
And before them I finally tottered
Grasping to capture my elusive breath
With the cockerel and swift of their knowing
They watched and waited for me
‘I have come,’ said I, ‘from this road’s birth,
I have come,’ said I, ‘seeking the best in us.’
The sergeant among them had red in his beard
Glistening wet as he showed his teeth
‘There are few roads on this earth,’ said he,
‘that will lead you to the best in us, old one.’
‘But you have seen all the tracks of men,’ said I
‘And where the mothers and children have fled
Before your advance. Is there naught among them
That you might set an old man upon?’
The surgeon among this rook had bones
Under her vellum skin like a maker of limbs
‘Old one,’ said she, ‘I have dwelt
In the heat of chests, among heart and lungs,
And slid like a serpent between muscles,
Swum the currents of slowing blood,
And all these roads lead into the darkness
Where the broken will at last rest.
‘Dare say I,’ she went on,‘there is no
Place waiting inside where you might find
In slithering exploration of mysteries
All that you so boldly call the best in us.’
And then the man with shovel and pick,
Who could raise fort and berm in a day
Timbered of thought and measured in all things
Set the gauge of his eyes upon the sun
And said, ‘Look not in temples proud,
Or in the palaces of the rich highborn,
We have razed each in turn in our time
To melt gold from icon and shrine
And of all the treasures weeping in fire
There was naught but the smile of greed
And the thick power of possession.
Know then this: all roads before you
From the beginning of the ages past
And those now upon us, yield no clue
To the secret equations you seek,
For each was built of bone and blood
And the backs of the slave did bow
To the laboured sentence of a life
In chains of dire need and little worth.
All that we build one day echoes hollow.’
‘Where then, good soldiers, will I
Ever find all that is best in us?
If not in flesh or in temple bound
Or wretched road of cobbled stone?’
‘Could we answer you,’ said the sergeant,
‘This blood would cease its fatal flow,
And my surgeon could seal wounds with a touch,
All labours will ease before temple and road,
Could we answer you,’ said the sergeant,
‘Crows might starve in our company
And our talons we would cast in bogs
For the gods to fight over as they will.
But we have not found in all our years
The best in us, until this very day.’
‘How so?’ asked I, so lost now on the road,
And said he, ‘Upon this bridge we sat
Since the dawn’s bleak arrival,
Our perch of despond so weary and worn,
And you we watched, at first a speck
Upon the strife-painted horizon
So tortured in your tread as to soak our faces
In the wonder of your will, yet on you came
Upon two sticks so bowed in weight
Seeking, say you, the best in us
And now we have seen in your gift
The best in us, and were treasures at hand
We would set them humbly before you,
A man without feet who walked a road.’
Now, soldiers with kind words are rare
Enough, and I welcomed their regard
As I moved among them, ’cross the bridge
And onward to the long road beyond
I travel seeking the best in us
And one day it shall rise before me
To bless this journey of mine, and this road
I began upon long ago shall now end
Where waits for all the best in us. 
 ―Avas Didion Flicker
 Where Ravens Perch”",Steven Erikson,The Crippled God,,9
"“The past is all patterns, and those patterns remain beneath our feet, even as the stars above reveal their own patterns—for the stars we gaze upon each night are naught but an illusion from the past.”",Steven Erikson,House of Chains,,9
"“There is that old saying, couched as a truism, and to utter it is to assert its primacy: justice, we say, is blind. By this we mean that its rules defy all the seeming privileges of the wealthy and the highborn. Laudable, without question, if from the rules of justice we are to fashion a civilization worthy of being deemed decent and righteous. Even children can be stung in the face of what they perceive to be unfair. Unless, of course, they are the ones profiting from it. And in that moment of comprehension, of unfairness to the other also being a reward to oneself, that child faces – for the first but not the last time – the inner war we all know so well, between selfish desire and the common good. Between injustice, clutched so possessively deep in the soul, and a justice that now, suddenly, stands outside that child, like a stern foe. With”",Steven Erikson,Fall of Light,,9
"“When next you see Anomander, tell him this from me: he chose wisely. Each time, he chose wisely. Tell him, then, that of all whom I ever met, there is but one who has earned my respect, and he is that one.”",Steven Erikson,Toll the Hounds,"gothos, malazan",9
"“But Hood was not yet done with her. He swung her up again, spun and once more hammered her onto the stone. 'I have had,' the Jaghut roared, and into the air she went again, and down once more, 'enough' - with a sob the crushed, broken body was yanked from the ground again - 'of- 'your- justice!”",Steven Erikson,The Crippled God,,9
"“They consider themselves masters at cheating. But then, I think this will be the first time that they sit at a table with mortal humans facing them. Cheating? When it comes to that, the Elder Gods are as children compared to humans. Since the time of my return, this much at least I have learned.”",Steven Erikson,The Crippled God,,8
"“He waited a moment, as they walked side by side through the camp, and then asked, 'Sir, if there's something we can't handle how do we handle it anyway?' She either grunted or laughed from the same place that grunts came from. 'Sawtooth wedges and keep going, Beak. Throw back whatever is thrown at us. Keep going, until. . .' 'Until what?' 'It's all right, Beak, to die alongside your comrades. It's all right. Do you understand me?' 'Yes sir, I do. It is all right, because they're my friends.' 'That's right, Beak.”",Steven Erikson,Reaper's Gale,,8
"“Is that you?"" came Shurq’s voice from the darkness within.
""Why yes,"" Bugg said, ""it is.""
""Liar. You’re not you, you’re Bugg. Where’s Tehol? I need to talk to Tehol.”",Steven Erikson,Midnight Tides,,8
"“That is all faith is, you know. Pity for our souls.”",Steven Erikson,The Crippled God,,8
"“Do you know its meaning, Caladan?'
'Pur Rakess Calas ne A'nom. Roughly, Strength in Standing Still.'
'A'nom', said the Son of Darkness, frowning.
'Perhaps,' the Azathanai said, 'as a babe, you were quick to stand.'
'And Rakess? Or Rake, as you would call me?'
'Only what I see in you, and what all others see in you. Strength.'
'I feel no such thing.'
'No one who is strong does.”",Steven Erikson,Fall of Light,caladan,8
"“Is that all we mortals are? The victims of tortured irony to amuse an insane murder of gods?
A murder of crows, a murder of gods-I like that, lass.”",Steven Erikson,House of Chains,,8
"“War is not a natural state. It is an imposition, and a damned unhealthy one. With its rules, we willingly yield our humanity.”",Steven Erikson,Memories of Ice,,8
"“Name none of the fallen, for they stood in our place, and stand there still in each moment of our lives. Let my death hold no glory, and let me die forgotten and unknown. Let it not be said that I was one among the dead to accuse the living.”",Steven Erikson,Deadhouse Gates,,8
"“He is strong enough to stand exposed, revealing all that is vulnerable within him. He is brave enough to invite you ever closer. If you hurt him, he will withdraw, as he must, and that path to him will be thereafter for ever sealed. But he begins with the gift of himself. What the other does with it defines the future of that particular relationship.”",Steven Erikson,Dust of Dreams,real-life,8
"“The greatest gift of education, Korya, is the years of shelter provided when learning. Do not think to reduce that learning to facts and the utterances of presumed sages. Much of what one learns in that time is in the sphere of concord, the ways of society, the proprieties of behaviour and thought. Haut would tell you that this is another hard-won achievement of civilization: the time and safe environment in which to learn how to live. When this is destroyed, undermined or discounted, then that civilization is in trouble.”  
  ―",Steven Erikson,Forge of Darkness,,8
"“long ago, there’d been choices he could have made that would have sent him on a different path. But those days were dead, and the future held only nights, a stretch of darkness that led down to the eternal dark. He would meet Vorcan, eventually, and he’d swear his life to the Guild Master, and that would be that, the closing of the final door. And his sense of outrage at the injustices around him, the corruptions of the world, would wither in the unlit tunnels beneath Darujhistan. In the exactness of the methods of assassination, his final victim would be himself.”",Steven Erikson,Gardens of the Moon,,8
"“He argued that every certainty is an empty throne. That those who knew but one path would come to worship it, even as it led to a cliff’s edge. He argued, and in the silence of that ghost’s indifference to his words he came to realize that he himself spoke – fierce with heat – from the foot of an empty throne.”",Steven Erikson,Midnight Tides,,8
"“Ah, Meese has brought us her finest goblets! A moment, whilst Kruppe sweeps out cobwebs, insect husks and other assorted proofs of said goblets' treasured value.”",Steven Erikson,Toll the Hounds,,8
"“Oh yes, I have learned much from Tremorlor, and so assume a like strategy. Silence, a faint mocking smile suggesting I know more than I do, an air of mystery, yes, and fell knowledge. None could guess my confusion, my host of deluded illusions and elusive delusions!”",Steven Erikson,Deadhouse Gates,,8
"“Tool interrupted, ‘do you mock me, or your own ignorance? Not even the lichen of the tundra is at peace. All is struggle, all is war for dominance. Those who lose, vanish.”",Steven Erikson,Memories of Ice,,8
“There was an old saying among the Perish that a room full of women was a knife-seller’s vision of paradise. ‘There will be betrayal.’ Oh yes indeed. Betrayal .”,Steven Erikson,The Crippled God,,8
"“the mind that has convinced itself of its own superiority is incapable of humility, and in the absence of humility, it is incapable of growth.”",Steven Erikson,Fall of Light,,8
"“Soldiers are issued armour for their flesh and bones, but they must fashion their own for their souls. Piece by piece.”",Steven Erikson,Memories of Ice,,8
"“«Such is the irony of life,» Kruppe proclaimed, raising one pastry-filled hand over his head, «that one learns to distrust the obvious, surrendering instead to insidious suspicion and confused conclusion. But, is Kruppe deceived? Can an eel swim? Hurrah, these seeming muddy waters are home to Kruppe, and his eyes are wide with wonder.»”",Steven Erikson,Gardens of the Moon,"kruppe, life",8
“I have tolerated the deceitful and the malicious for long enough. My sword shall now answer them.”,Steven Erikson,House of Chains,,8
"“There had been times-he was almost certain-when he'd known unmitigated joy, but so faded were they to his recollection that he had begun to suspect the fictional conjuring of nostalgia. As with civilizations and their golden ages, so too with people: each individual ever longing for that golden past moment of true peace and wellness.
So often it was rooted in childhood, in a time before the strictures of enlightenment had afflicted the soul, when what had seemed simple unfolded its complexity like the petals of a poison flower, to waft its miasma of decay.”",Steven Erikson,The Bonehunters,,8
“Secrets have power so long as they remain secrets”,Steven Erikson,House of Chains,,8
"“Compassion existed when and only when one could step outside oneself, to suddenly see the bars from inside the cage.”",Steven Erikson,The Bonehunters,,8
"“The Emperor is dead!
So too his right hand - now cold, now severed!
But mark these dying shadows,
twinned and flowing bloody and beaten,
down and away from mortal sight...
From sceptre's rule dismissed,
from gild candelabra the light now fled,
from a hearth ringed in hard jewels
seven years this warmth has bled...
The Emperor is dead.
So too his master'd companion, the rope cut clean.
But mark this burgeoning return -
faltering dark, the tattered shroud - 
embracing children in Empire's dying light.
Hear now the dirge faint reprised,
before the sun's fall, this day spills red
on buckled earth, and in obsidian eyes
vengeance chimes seven times...""
―Call to Shadow, Felisin (I.i. 1-18)”",Steven Erikson,Gardens of the Moon,,8
“I shall call him Tufty.”,Steven Erikson,Toll the Hounds,,8
